Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA,AAPL,GOOGL,JPM,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,271.6058349609375,312.7798156738281,319.1398010253906,482.5186767578125,186.4899139404297,449.7200012207031,273.42414083736213,314.3586907819443,321.77437689354394,487.0284031238816,190.54969193131708,456.54998779296875,271.49595243002375,311.22091551782626,318.9615289550125,482.1993981667827,186.47991997410415,449.29998779296875,272.80472532736104,312.62992729269524,321.2395304565584,486.7290680267604,189.55975523635485,456.1000061035156,27293600,16377700,5048500,15601600,120100500,49078000
2026-01-02,270.75665283203125,314.9283142089844,322.36865234375,471.8630065917969,188.83978271484375,438.07000732421875,277.58025431004916,322.2731502440002,322.61626252061376,483.5563186075122,192.91954841717475,458.3399963378906,268.7485221479618,310.11169732658084,317.6739428368343,469.0893385249197,188.24980305842183,435.29998779296875,272.0054842546519,316.67708324131615,319.4171281542276,483.2869444224563,189.82971935613102,457.79998779296875,37838100,32009400,8054000,25571600,148240500,85535400
2026-01-05,267.0101623535156,316.3173522949219,330.8468322753906,471.773193359375,188.1098175048828,451.6700134277344,271.25618925068443,318.79558832967825,334.026138578159,474.9858617296903,193.61952916959007,457.54998779296875,265.89121426121545,314.4086921415047,322.08142570711647,468.4308161640092,186.13992286460274,444.57000732421875,270.38700744645297,317.4365596004392,322.3884599175412,472.98042932285466,191.74961996436147,447.989990234375,45647200,30195600,10752600,25250300,183529700,67940800
2026-01-06,262.1147155761719,314.1188659667969,332.90625,477.4203186035156,187.22987365722656,432.9599914550781,267.2998660934885,320.71422913013345,334.1598441675407,477.64977534720424,192.15959956375178,448.25,261.8749496989937,311.5606693028291,328.96642165340415,468.68025764779384,186.80989821500853,428.7799987792969,266.7503924619391,316.17741436833177,330.92639220894705,472.72102257015473,190.50969495089785,446.3800048828125,52352100,31212100,7660800,23037700,176862600,89093800
2026-01-07,260.08660888671875,321.7535095214844,325.3250732421875,482.3690185546875,189.09976196289062,431.4100036621094,263.4334831315393,325.9205589972494,330.45880399676645,488.5848422406915,191.35963411085106,438.3699951171875,259.56710600115036,313.96898096999803,322.947258062395,476.86159994291296,186.54989697142676,431.2900085449219,262.95395138764474,314.13884430323384,329.4539672046419,478.6674756822987,188.55979791265688,435.8999938964844,48309800,35104400,9815200,25564200,153543200,59828800
2026-01-08,258.7978515625,325.2110595703125,328.11083984375,477.0212097167969,185.0299835205078,435.79998779296875,259.0476178563403,330.0876314322289,329.7126277455971,481.5608665012806,189.53974931649188,436.8900146484375,255.46096229095477,321.2738288701313,323.99190461809644,474.7763335277468,183.70006889406122,424.3699951171875,256.7797203952787,328.7385750407063,324.7281574581884,480.14408679814625,189.09977067708235,427.8900146484375,50419300,31896100,11737100,18162600,172457000,57041100
2026-01-09,259.1275329589844,328.3388671875,327.5138854980469,478.1885681152344,184.84999084472656,445.010009765625,259.9667440583015,330.5972566011106,330.21007865256746,478.72734693664125,186.32990643372668,449.04998779296875,255.98048371428257,325.5707962902668,326.49908990111055,471.1247042989064,183.66005283935564,430.3900146484375,258.8377955175017,326.8598973489763,327.6631156796267,472.9804540365218,185.06998015284367,435.95001220703125,39997000,26214200,6738100,18491000,131327500,67331500
2026-01-12,260.0067138671875,331.62652587890625,322.8377990722656,476.09332275390625,184.92999267578125,448.9599914550781,261.05572011368304,333.80501545240315,324.3600076252465,479.89464390147504,187.10986736077922,454.29998779296875,256.5599267903311,324.77136644379436,319.59441851466954,474.59673866594744,183.010098425574,438.0,258.9177364764393,325.57079145505844,320.2411028663189,475.5845048686955,183.2100845491025,441.2300109863281,45263800,33923900,12805100,23519900,137968500,61649600
2026-01-13,260.8059387207031,335.7336730957031,309.3169860839844,469.5981750488281,185.79994201660156,447.20001220703125,261.56523797230057,340.25048265726696,325.1957141371429,474.6965236309785,188.0998205983224,451.80999755859375,258.148452318208,333.38532003422745,308.9886797025588,464.888922501957,183.3900687774691,443.95001220703125,258.4781303943212,334.7144015630273,322.64875130423195,473.5990225282599,184.9899882929175,450.20001220703125,45730800,33517600,19371200,28545800,160128900,53719200
2026-01-14,259.71697998046875,335.603759765625,306.30242919921875,458.3338928222656,183.1300811767578,439.20001220703125,261.57525710051715,336.2832741209541,310.17263725890126,467.13381499707015,184.45001701406107,443.9100036621094,256.4700180914029,330.2475447349911,304.5613395847709,456.1289340170423,180.79021156477043,434.2200012207031,259.247418118488,334.8243096530742,306.6307659579143,465.39775666549855,184.3100252062831,442.80999755859375,40019400,28525600,25951500,28184300,159586100,57259500
