Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2025-01-27,217.2462615966797,217.41103858270154,213.08801282008514,215.3658427830349,4898400
2025-01-28,218.72927856445312,218.83590071172506,214.9587532329549,217.43043770869966,4485400
2025-01-29,221.6080322265625,222.42222953899696,216.8585183237444,218.69046967179287,7079800
2025-01-30,250.3376922607422,253.7592734962052,239.42352817038508,242.32170103926615,15381900
2025-01-31,247.84664916992188,249.33934443886022,244.15366856955768,248.18589069960868,7199800
2025-02-03,252.72216796875,254.01130644820918,244.10519377875204,244.64799204171243,8408500
2025-02-04,256.33758544921875,257.1033303234256,250.19231052854013,252.0145744923305,6077700
2025-02-05,255.2132110595703,257.5588982085762,253.15832770836616,257.54919587456345,6165100
2025-02-06,245.65606689453125,255.29078075641434,244.9678667086208,254.90307192416364,6128300
2025-02-07,244.58982849121094,249.03885137047212,244.27966440490735,247.43953406045574,3370300
2025-02-10,243.22381591796875,245.83880381889261,240.88202037506974,244.77524597360693,3564400
2025-02-11,248.5220947265625,250.52237371644497,244.5020325787223,245.00942383356008,4801600
2025-02-12,249.60516357421875,250.18084917616105,245.90709898269046,246.59011706030654,3075300
2025-02-13,252.9031982421875,252.9910116665798,248.23914111231724,249.45882163558204,4531500
2025-02-14,254.9425048828125,255.58649978344064,251.65425089998712,252.7178087612594,3925300
2025-02-18,256.6891174316406,257.55751456821315,253.52768494551896,255.57675438827053,4262800
2025-02-19,257.9087829589844,257.9477912977087,253.78137317101158,255.64504866394387,3718700
2025-02-20,258.3185729980469,258.66008950683243,255.79139847680523,257.25501513386575,4884800
2025-02-21,255.1376495361328,258.40636936590295,254.7668619097773,257.4501589372547,5667900
2025-02-24,255.51820373535156,257.45018853710945,253.28374052518043,255.1571830399783,4398100
2025-02-25,251.49813842773438,257.08916498925515,250.54189812239878,254.74735442740132,6292200
2025-02-26,249.63442993164062,252.0640238246636,248.23912266328992,251.83962168256852,3460100
2025-02-27,247.08775329589844,251.38103764214804,246.91212644829403,249.02949003581233,3402200
2025-02-28,246.31690979003906,246.67793044057635,240.5600091055003,244.77523190727828,7988800
2025-03-03,244.12149047851562,249.7808108988296,242.22854398622334,248.5611304155153,2977700
2025-03-04,247.06825256347656,249.28318168979646,242.08219795298666,242.71642587417142,5342100
2025-03-05,245.25335693359375,246.60964103213692,241.01861499060746,245.47777397313865,4009800
2025-03-06,242.6578826904297,245.98517474274703,240.81372632838875,243.69216939556568,3254400
2025-03-07,255.1962127685547,255.60600876380482,239.23301802115893,239.984345419368,6700200
2025-03-10,250.66873168945312,259.9871086236326,248.5708871741708,255.21570419004357,8165500
2025-03-11,242.91156005859375,250.47359388091894,239.89651350220274,249.7808088211408,5630600
2025-03-12,243.5750732421875,246.9901785567424,239.5745153468093,244.27761038370443,3848800
2025-03-13,239.83798217773438,243.22381651701414,237.14491804120158,242.76521544705903,3862400
2025-03-14,242.3261260986328,242.9115638015682,235.81789789148297,236.86195153916847,4045200
2025-03-17,246.83407592773438,248.45381529602392,242.96036925099173,243.20430536469755,3233900
2025-03-18,240.96006774902344,246.4437611998452,239.17445377598827,246.3852040315072,4171900
2025-03-19,246.17056274414062,247.50734277582808,240.6576125122181,242.30662302833522,3853600
2025-03-20,237.4181365966797,240.81372296905647,231.4660897500129,238.31581966575962,7026800
2025-03-21,237.95477294921875,239.26228171053236,232.71503048629404,235.82765738525927,9580100
2025-03-24,242.42369079589844,242.7847263446157,240.0038488767483,241.31134278648702,4753300
2025-03-25,243.83851623535156,244.81426062186947,242.1797537560067,242.33587643113222,3133800
2025-03-26,244.26785278320312,248.15132626688788,243.47750219084202,245.15578377233794,4450100
2025-03-27,240.23802185058594,244.22881265029898,239.76965384491007,243.65312705975083,2889300
2025-03-28,238.0816192626953,241.56503370748908,236.19843983066605,240.29656308614094,3125300
2025-03-31,242.6286163330078,244.80452226815183,236.60827491717396,236.85221102748494,6795000
2025-04-01,244.26785278320312,244.54106002775566,237.58401248719406,242.01388557130568,4412900
2025-04-02,243.9165802001953,246.65841957365512,241.23328310836868,242.19927542135034,4080800
2025-04-03,237.58401489257812,244.5313104192705,236.64729369557278,236.82293543380806,5309600
2025-04-04,221.9623260498047,234.33477245541397,221.37688835855556,232.22716103409087,7407100
2025-04-07,220.30357360839844,226.65566441263715,209.29717775928418,213.92221166270025,7797900
2025-04-08,215.66879272460938,227.39724508086533,212.00975106879844,226.91912494458174,6850000
2025-04-09,229.60240173339844,230.56839400452208,209.9411589407113,211.85360953835672,7302800
2025-04-10,223.98211669921875,226.92886878109073,216.6347629945483,225.3969430174805,5656100
2025-04-11,229.76828002929688,231.8173491613267,221.99159621097715,224.14799781923094,4325900
2025-04-14,233.26145935058594,235.9057332875988,230.9879730586431,233.95424444184647,3321500
2025-04-15,234.86166381835938,235.67153342153892,232.49061217674623,233.73956376296405,3363700
2025-04-16,232.78335571289062,237.39862269600232,230.16835289948745,234.4518703498227,4869900
2025-04-17,233.0175018310547,235.91546369177462,231.64169874794987,233.86639463656846,4635200
2025-04-21,230.49032592773438,234.9689888117425,227.280118756854,232.29545888668824,4908900
2025-04-22,235.0568084716797,236.75460900430272,232.24667486185737,232.7150279820482,4232700
2025-04-23,239.52572631835938,243.29210022203972,237.74987928824314,240.03311756496873,7948300
2025-04-24,223.76747131347656,227.1337866101384,218.9960816592255,225.57258957088848,15428100
2025-04-25,226.77276611328125,227.69972034226214,220.83048611929678,223.3966838409582,6700100
2025-04-28,230.43179321289062,230.89039425633328,226.4410023263748,227.2118338250488,3653500
2025-04-29,233.58346557617188,234.15915123402357,230.4122960826338,231.2514369133941,3426500
2025-04-30,235.95452880859375,236.58875674229736,228.65594964100725,230.98797826873462,5143000
2025-05-01,233.84689331054688,236.49115214800236,232.178363929475,235.58371705366088,4243300
2025-05-02,239.5940399169922,239.73064353717098,235.47639736615997,237.2327402603715,3731900
2025-05-05,243.135986328125,243.74095799008697,237.73036881681986,237.82794921384934,4137800
2025-05-06,243.07742309570312,244.1214766769593,240.1404380178505,241.75041020933352,2900600
2025-05-07,247.22434997558594,248.2976747541772,242.79447702027178,243.3994337743808,3399700
2025-05-08,247.97567749023438,250.2979390030003,247.10726558284472,248.81481825715855,3637000
2025-05-09,244.77359008789062,248.50609570873493,243.24130193531636,248.0247939222447,2901300
2025-05-12,249.183837890625,249.30170159649109,240.304402350756,248.01497284826957,4609500
2025-05-13,253.99679565429688,254.9692012029312,248.3882278313244,249.91068399085393,3521400
2025-05-14,253.240478515625,255.92196769646725,251.66889252628525,253.0243850673969,3634700
2025-05-15,261.9430847167969,262.6797628288907,254.0164210365448,254.40934001006883,4856300
2025-05-16,262.0216979980469,263.22002900609107,259.8902293288371,261.6189770061497,3817900
2025-05-19,263.6423645019531,264.3594086505394,260.37149692093885,260.73494996644735,3198600
2025-05-20,262.20831298828125,264.4969131773133,260.9019203251371,262.65030187860435,2437900
2025-05-21,256.2362976074219,260.9313917642827,255.78447674037534,260.2634774433426,3753900
